F1,F2,F3,F4,F5,F6,CODE1,ITEME,ITEMF,CODE2,prove,provf,taxyr,f7
960,0,304140,0,944830,0,A,number of taxable returns,nombre de déclarations imposables,1,,,2006,1
802590,0,4230150,0,2633050,0,A,total number of returns,nombre total de déclarations,2,,,2006,1
13360,123647,2158460,9733109,1238780,12201656,B,employment income,revenus d'emploi,3,,,2006,1
220,1201,53680,42219,33190,44695,B,commissions (from employment),commissions (d'emploi),4,,,2006,1
2440,7822,192660,555030,113880,435935,B,other employment income,autres revenus d'emploi,5,,,2006,1
3670,18617,272390,1224299,801180,3905647,B,old age security pension,pension de sécurité de la vieillesse,6,,,2006,1
7890,28595,547460,1805727,840630,3390541,B,cpp or qpp benefits,prestations du rpc ou du rrq,7,,,2006,1
1220,14949,65920,172305,126200,432318,B,other pensions or superannuation,autres pensions et pensions de retraite,8,,,2006,1
7160,5341,447320,363415,166950,125756,B,universal child care benefits,prestation universelle pour la garde d'enfants,9,,,2006,1
2630,11625,192710,687894,271370,1313957,B,employment insurance benefits,prestations d'assurance-emploi,10,,,2006,1
7660,9235,206910,101332,185110,143257,B,taxable amount of dividends,montant imposable des dividendes,11,,,2006,1
21390,33636,827620,676068,596050,695311,B,"interest,other invest. income",revenus de placements,12,,,2006,1
690,6380,43780,90844,107040,232363,B,annuity income,revenus de rentes,13,,,2006,1
17170,-72776,97880,81703,73030,105534,B,net rental income,revenus nets de location,14,,,2006,1
7430,52994,186110,206502,137090,202754,B,taxable capital gains,gains en capital imposables,15,,,2006,1
5990,25838,144070,289422,96420,328605,B,rrsp income,revenu d'un régime enregistré d'épargne-retraite,16,,,2006,1
51780,-872855,341040,1215145,220760,1605283,B,net business income,revenus nets d'entreprise,17,,,2006,1
4610,-30786,37000,100795,19700,134116,B,net professional income,revenus nets de profession libéral,18,,,2006,1
4120,-35821,23620,72692,14870,95655,B,net commission income,revenus nets de commissions,19,,,2006,1
15890,-298154,55220,9867,39630,35472,B,net farming income,revenus nets d'agriculture,20,,,2006,1
430,-5646,3680,859,4120,1009,B,net fishing income,revenus nets de pêche,21,,,2006,1
3000,15080,767500,4010082,969260,6760835,B,tax-exempt income,revenus non imposables,22,,,2006,1
14270,-142377,515490,856268,322280,769144,B,other income,autres revenus,23,,,2006,1
83250,-1103456,4230150,22295580,2633050,32959843,B,total income assessed,revenu total établi,24,,,2006,1
5570,8040,63590,22553,71370,36728,C,rpp deduction,déductions à un rpa,25,,,2006,1
4340,7890,65990,86317,135070,184916,C,rrsp contributions,déductions à un reer,26,,,2006,1
4210,1457,337070,41142,256750,45225,C,"annual union, professional, or like dues","cot. annuelles syndicales, prof., et semblables",27,,,2006,1
1540,1453,96030,105648,85080,156519,C,child care expenses,frais de garde d'enfants,28,,,2006,1
3820,17666,73580,34431,94760,51943,C,carrying charges and interest expenses,frais financiers et frais d'intérêts,29,,,2006,1
1430,534,220350,35147,203820,69261,C,cpp/qpp contrib. on self-empl./other earning,cotisations au rpc ou au rrq,30,,,2006,1
780,4836,10580,19748,16520,24999,C,other employment expenses,autres dépenses d'emploi,31,,,2006,1
6000,10757,156230,104138,153820,114477,C,other deductions (from total income),autres déductions (du revenu total),32,,,2006,1
24160,52634,825100,449124,738070,684068,C,total deduction before adjustment,total des déductions avant ajustement,33,,,2006,1
0,0,0,0,0,0,C,social benefits repayment,remb. des prestations de progr. sociaux,34,,,2006,1
0,0,4205820,21901620,2630710,32280691,C,net income after adjustment,revenu net après ajustements,35,,,2006,1
70,15341,1370,1277,1340,2639,C,capital gains deduction,déduction pour gains en capital,36,,,2006,1
1090,16260,15760,18214,18250,27755,C,losses from other years,pertes d'autres années,37,,,2006,1
3290,16010,784680,4054501,989220,6880729,C,additional deductions (from net income),déductions supplémentaires (du revenu net),38,,,2006,1
4340,47611,800580,4074757,1007650,6911123,C,total deductions (from net income),total des déductions (du revenu net),39,,,2006,1
0,0,3830020,17840987,2480370,25385961,C,taxable income assessed,revenu imposable établi,40,,,2006,1
787260,6708384,4217090,36725701,2629620,23164347,C,basic personal amount,montant personnel de base,41,,,2006,1
34200,167133,318520,1591486,814640,4123869,D,age amount,montant en raison de l'âge,42,,,2006,1
60510,412516,343840,2130709,289640,1850433,D,"spouse,elig. depend.,adoption amt.","montant pour conjoint,pers. à charge, et frais d'adoption",43,,,2006,1
21240,11669,1706380,281125,1287620,485103,D,cpp or qpp contributions,cotisations au rpc ou au rrq,44,,,2006,1
29730,9776,1585470,161120,1106340,205770,D,employment insurance premiums,cotisations à l'assurance-emploi,45,,,2006,1
30360,5979,2250310,550814,1271960,315182,D,canada employment amount,montant canadien pour l'emploi,46,,,2006,1
7520,2035,110360,31727,88560,27011,D,public transit passes amount,credit pour laissez-passer de transport en commun,47,,,2006,1
1710,2944,85520,118474,204020,300950,D,pension income amount,montant pour revenu de pension,48,,,2006,1
380,1221,7020,23959,4120,14262,D,caregiver amount,montant pour aidants naturels,49,,,2006,1
6000,41336,65760,446567,74190,499084,D,disability amount,montant pour personnes handicapées,50,,,2006,1
260,2061,47580,60978,393830,913271,D,tuition and education amounts,frais de scolarité et montant relatif aux études,51,,,2006,1
1540,533,9360,4145,35710,17575,D,interest paid on student loans,intérêts payés sur vos prêts étudiants,52,,,2006,1
16730,77367,61080,244444,110520,473195,D,amounts transferred from spouse,montants transférés du conjoint,53,,,2006,1
16490,15553,185910,182811,302430,408617,D,allowable amt. of med. expenses,montant admissible des frais médicaux,54,,,2006,1
787800,1136816,4219300,6488605,2630460,5002570,E,total tax credits,total des crédits d'impôt,55,,,2006,1
0,0,47280,12330,151090,66194,E,"charitable donations,cultural, ecological, gov","dons de bienfaisance, dons aux gouvernements, dons de biens culturels ou éco",56,,,2006,1
0,0,43800,2936,145970,16682,E,"donations,gifts",dons,57,,,2006,1
787800,1136816,4219440,6491541,2630500,5019253,E,total non-refundable tax credits,total des crédits d'impôt non remboursables,58,,,2006,1
130,3280,137190,23571,883570,318833,F,basic federal tax,impôt fédéral de base,59,,,2006,1
7130,1540,188110,18307,175600,25502,F,fed. dividend tax credit,crédit d'impôt pour dividendes,60,,,2006,1
740,363,169230,51177,149020,99444,F,cpp contrib. on self-employ. earning,cot. au rpc pour le revenu d'un travail indép.,61,,,2006,1
130,3280,131240,25843,864170,319607,F,net federal tax,impôt fédéral net,62,,,2006,1
210,1853,33670,4070,256780,55005,F,net provincial tax,"impôt provincial,territorial net",63,,,2006,1
960,5497,304140,81091,944830,474091,F,total tax payable,total de l'impôt à payer,64,,,2006,1
1406630,0,1583390,0,1549640,0,A,number of taxable returns,nombre de déclarations imposables,1,,,2006,2
2381970,0,1793810,0,1624360,0,A,total number of returns,nombre total de déclarations,2,,,2006,2
1188710,16838273,1140650,21160974,1136560,26530975,B,employment income,revenus d'emploi,3,,,2006,2
31370,85237,30690,130875,28570,162921,B,commissions (from employment),commissions (d'emploi),4,,,2006,2
108190,392307,119370,445159,137310,469028,B,other employment income,autres revenus d'emploi,5,,,2006,2
912660,5134337,464470,2616161,354390,1989200,B,old age security pension,pension de sécurité de la vieillesse,6,,,2006,2
1016380,6059964,569960,3909699,453020,3235022,B,cpp or qpp benefits,prestations du rpc ou du rrq,7,,,2006,2
349070,1486865,350440,2573652,315300,3370171,B,other pensions or superannuation,autres pensions et pensions de retraite,8,,,2006,2
127170,93410,111980,82795,99850,72854,B,universal child care benefits,prestation universelle pour la garde d'enfants,9,,,2006,2
323210,1867572,306910,2013166,284520,1878886,B,employment insurance benefits,prestations d'assurance-emploi,10,,,2006,2
